View,Coment,Like,Subscriber
11,1.0,6.0,21.0
29,0.0,2.0,1000.0
19,0.0,0.0,1000.0
32,0.0,5.0,39.0
86,8.0,4.0,10.0
15,0.0,1.0,1000.0
130,0.0,7.0,87.0
113,11.0,8.0,163.0
209,2.0,6.0,369.0
61,1.0,2.0,80.0
18,0.0,2.0,31.0
42,1.0,4.0,20.0
1,0.0,1.0,6.0
14,8.0,2.0,62.0
39,1.0,2.0,54.0
