,Now,Title,View,Coment,Like,Subscriber
123,2020/04/22 13:31:10,[VLOG] 슬기로운 병원생활  | 병원VLOG | 입원브이로그 | 두번째날 | 수술날아침 | 암수술 6개월 만에 다시 수술  |  조직검사 |  희귀병환자로 살아가는 삶,85,5.0,18.0,1000.0
124,2020/04/22 13:31:29,온라인 개학하고 집콕만 하는 일상 VLOG ( 브이로그 ) 🏡 /  민트초코 마카롱 만들기  /  머랭쿠키 만들기  /  딸기청 호로록 🍓  /  몰티져스,94,43.0,,852.0
125,2020/04/22 13:31:49,VLOG | 알바 중 갑자기 소리 지르기 | 일상브이로그 | 알바생,83,12.0,7.0,192.0
126,2020/04/22 13:32:11,,72,18.0,,594.0
127,2020/04/22 13:47:05,육아브이로그👶🏻9개월아기/베이비카페,26,0.0,3.0,24.0
128,2020/04/22 13:47:32,[기상캐스터 브이로그]비타밍스타/일상 브이로그/깜짝생일파티/날씨준비과정/기상캐스터의 하루,331,20.0,56.0,534.0
129,2020/04/22 13:47:57,#17 도쿄일상 브이로그 | 재외선거 | 롯폰기 산책 | 요즘 빠진 아이스크림 | 카레 만들기 | 만들고 먹는 일상 | 도쿄8년차 주부,78,7.0,5.0,44.0
130,2020/04/22 13:48:20,희린's 브이로그 #1,793,38.0,44.0,963.0
131,2020/04/22 13:48:42,공부/일상 브이로그 (시끄럽다 조용했다 차이 심함),205,20.0,23.0,1000.0
132,2020/04/22 13:49:02,감성 브이로그 편집 / 보정 쉽게하는 방법🌿 | 닌텐도 스위치 라이트 영상 보정법 (ft. Vllo),150,9.0,10.0,
133,2020/04/22 13:49:21,"런던여행 브이로그 : 런던어학원 지각생, 빈티지버스 더블데커, 타워브릿지, 런던아이, 런던한식당",57,5.0,4.0,123.0
134,2020/04/22 13:49:41,YBINI) 29세 남자 주말 브이로그 피트니스 헬스 대회 응원가는 방법 vlog,94,2.0,7.0,342.0
135,2020/04/22 13:50:03,[VLOG] 파주 나들으리!! l브이로그l헤이리l잇탈리l맛집l미메시스lMIMESISl,10,2.0,3.0,15.0
136,2020/04/22 13:50:25,[밝음주희] 같이 공부할까요 ?/ 사이버강의듣는 대학생 브이로그/ 잔잔함 주의,83,2.0,2.0,36.0
137,2020/04/22 13:50:49,ENG) [브이로그] #1 브이로그 이렇게 하는 거 맞나요? 비오는 날 막노동 후 막걸리 한잔. 두부김치/미나리전/바지락전/바지락삼색수제비/섞박지/감자전/막걸리.,46,4.0,11.0,51.0
138,2020/04/22 13:51:10,,66,8.0,21.0,
139,2020/04/22 13:51:29,[휘림 일상] 암 병원 단체사진 촬영 현장 브이로그,277,8.0,16.0,1000.0
140,2020/04/22 13:51:49,[호주워홀] 멜번 락다운 4주간의 기록 / 셧다운 일상 브이로그 / 존버...이제는 우리가 헤어져야 할 시간 /달고나커피 & 1000번 저어 만드는 계란,64,7.0,6.0,411.0
141,2020/04/22 13:52:08,직접 케이크🎂 만들어 서프라이즈 해주는 브이로그 | 🐱길냥이 출연🐱 | nangyi낭이,43,8.0,4.0,153.0
142,2020/04/22 13:52:28,키즈올림픽 키즈카페 아빠랑 놀아요 뉴욕이랑 브이로그,3534,,,1210000.0
143,2020/04/22 13:52:48,[ VLOG ] 캐럿 일상 덕질 브이로그 / 중학생 / 학생 브이로그 / 중3 / Vlog,81,1.0,6.0,97.0
144,2020/04/22 13:53:07,매실이의 사회적거리두기 브이로그 | 일상브이로그ㅣ Maesil's Social Distancing Vlog,53,6.0,16.0,377.0
145,2020/04/22 13:53:27,"[VLOG] 정쭈일상브이로그 (또 등산 브이로그 , 스트레칭 , 오렌지 , 바다 )",36,10.0,8.0,87.0
