,Now,Title,View,Coment,Like,Subscriber
84,2020-04-26 16:55,(싱크로율100%ㄷㄷ)김동현이 김동현을 조종할때 일어나는 일,80458,309,1700,401000
85,2020-04-26 16:55,단 5분만에 게임 터트리는 방법 【이즈리얼 vs. 트리스타나】,2769,6,16,50500
86,2020-04-26 16:55,GEN vs T1 Game 3 - LCK 2020 Spring Split Playoffs: Finals - Gen.G vs SK Telecom T1 G3,10624,43,161,198000
87,2020-04-26 16:55,[엘소드]엘소드 현 딜러직업 벨런스 게임으로 대충보자,1155,8,14,344
88,2020-04-26 16:56,4월25일 흥하라100억게임 토요특집/에이프로젠KIC  에이프로젠H&G  에이프로젠제약 네니처셀 넥스트BT 이노인스트루먼트,953,0,46,1970
89,2020-04-26 16:56,스폰지밥 결투 게임 - 징징이 필살기로 우승하기 ! Sponge Bob SquarePants - Reef Rumble Game,465,20,7,37000
90,2020-04-26 16:57,운전게임 3.0 [3D운전게임(운전교실 팬작품)](2.0 업데이트는 설명 참고),1264,35,39,13400
91,2020-04-26 16:57,레데리 온라인... 이 게임의 본질!!!! 이 게임을 왜 하냐고 묻는 자에게 이 영상을 보여주십쇼,545,16,14,1760
92,2020-04-26 16:57,[게임] 파이날 판타지 7 리메이크 #6 주말이다아아!,4893,14,189,17900
93,2020-04-26 16:57,WWE 2K20 'MASK & FACE PAINT' Theme Gameplay | FAIL GAME LIVE 2K20 ! SPECIAL THEME GAMEPLAY,18532,161,2000,27000
94,2020-04-26 16:57,[모바일게임 나루토x보루토 닌자볼테이지(NxB Ninja Voltage Live)] 실시간 방송 플레이 영상 - 냥아치집사,215,0,7,1570
95,2020-04-26 16:58,만물TV [나눔이벤트] 게임만하는 책상? 제대로 활용합시다 MDESK F1 언박싱 리뷰,476,90,61,10000
96,2020-04-26 16:58,ARMAGEDDON Game | Anish Giri vs Ding Liren | Magnus Carlsen Invitational,7873,43,164,166000
97,2020-04-26 16:58,[로블록스] 67회 입양하세요 주말 추천게임 진행중.. !! 들어오삼(ROBLOX GAME),368,10,7,468
98,2020-04-26 16:58,Criminally Overlooked Games 2 - Game Sack,8020,163,793,242000
99,2020-04-26 16:58,"일단 가, 계속 쭉 가｜직진 알만툴게임",6008,25,71,648000
100,2020-04-26 16:58,Game of the Century | All Blacks v Australia 2000,42196,68,854,292000
101,2020-04-26 16:59,T1 vs Gen.G Game 2 Full - LCK Spring 2020 Playoffs GRAND FINAL - T1 vs GEN G2,29850,13,230,231000
102,2020-04-26 17:00,Nakamura vs Nepomniachtchi Game 1 | Magnus Carlsen Invitational Round 4,3192,38,274,62000
103,2020-04-26 17:00,브롤스타즈 실시간 시참 브롤볼에서 블루팀 3연승 실화? 쇼다운 주말은 유게임 감사합니다.Brawl stars live,1035,14,33,1750
104,2020-04-28 9:13,스파키가 몇 대야 ㅋㅋㅋ (무제한 NERY 엘릭서 쇼) 허팝게임,15434,186,404,373000
105,2020-04-28 9:13,집콕하는 당신들을 위한 게임추천 [난쟁이성현],54877,1088,3000,728000
106,2020-04-28 9:13,자 오늘 할 게임은 동물의 숲... 이 숲이 아닌가?,1696,43,211,430000
107,2020-04-28 9:13,이렇게 게임하는사람 나밖에 없을거야 ※따라하지마시오※ ㅋㅋㅋㅋㅋ,328387,1460,9200,1720000
108,2020-04-28 9:14,마약을 하면 어떻게 되는지 체험할 수 있는 게임? / 마약 예방 게임,21671,202,1000,55800
109,2020-04-28 9:14,[ 500명이 동시에 하는 공굴리기 게임 ] - 【 지누 】,42782,118,1200,260000
110,2020-04-28 9:14,여신강림을 피하기 위한 치열한 눈치 게임 [고등학생 간지대회 시즌 2] EP 6-1 l goganzi l highschoolstyleicon,241140,1306,5300,195000
111,2020-04-28 9:14,누군가 고의적으로 게임을 터뜨리고 있는 거 같습니다,188125,562,3400,349000
112,2020-04-28 9:14,마인크래프트가 국산 게임이었다면 어땠을까?ㅋㅋㅋㅋ 1탄,82268,423,1600,141000
113,2020-04-28 9:15,이걸 보고 게임이 질병이라 할 수 있나요? [스카이 빛의 아이들],26771,372,843,214000
114,2020-04-28 9:15,합체귀신이라니ㅋㅋ 신비아파트 ar게임 예언의 시작 | 히히튜브,12912,58,255,254000
115,2020-04-28 9:15,스폰지밥 결투 게임 - 뚱이 필살기로 우승하기 ! Sponge Bob SquarePants - Reef Rumble Game,306,14,15,37000
116,2020-04-28 9:15,내가 이기느냐 게임이 이기느냐 !! 두여자고수의 펌프방송,348,14,21,756
117,2020-04-28 9:16,3D운전게임3.0에 산길 추가[3d운전게임(운전교실 팬작품)],1255,79,42,13400
118,2020-04-28 9:16,"제노블부터 마크던전, 무료게임까지?! 20년5월 한국어로 발매될 닌텐도 스위치 게임 총정리!",2360,52,95,12700
119,2020-04-28 9:16,[TIME TO PLAY THE GAME] 하나원큐 K리그1 2020 Intro Video,44751,313,1200,50500
120,2020-04-28 9:16,[데빌북] 동화풍 그래픽! 아기자기한 게임 의외로 재밌다!,499,2,8,9520
121,2020-04-28 9:16,Terraria Is A Perfectly Balanced Game With No Exploits - Infinite Diamond Exploit Item Dupe Glitch,183890,1998,18000,1290000
